Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz_timezone
Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH,OMAA,24.43300056,54.65110016,88,4,U,Asia/Dubai
Abu Musa Island Airport,Abumusa I.,Iran,AEU,OIBA,25.8757,55.033001,23,3.5,E,Asia/Tehran
Abu Simbel Airport,Abu Simbel,Egypt,ABS,HEBL,22.37599945,31.61170006,616,2,U,Africa/Cairo
Acadiana Regional Airport,Louisiana,United States,ARA,KARA,30.0378,-91.883904,24,-6,A,America/Chicago
Achmad Yani Airport,Semarang,Indonesia,SRG,WARS,-6.97273,110.375,10,7,N,Asia/Jakarta
Adak Airport,Adak Island,United States,ADK,PADK,51.87799835,-176.6459961,18,-10,A,America/Adak
Adana Airport,Adana,Turkey,ADA,LTAF,36.98220062,35.28039932,65,3,E,Europe/Istanbul
Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,ADD,HAAB,8.977890015,38.79930115,7630,3,U,Africa/Addis_Ababa
Adelaide International Airport,Adelaide,Australia,ADL,YPAD,-34.945,138.531006,20,9.5,O,Australia/Adelaide
Adelaide Parafield Airport,Adelaide,Australia,\N,YPPF,-34.79330063,138.6329956,57,9.5,O,Australia/Adelaide
Aden Adde International Airport,Mogadishu,Somalia,MGQ,HCMM,2.01444006,45.30469894,29,3,U,Africa/Mogadishu
Aden International Airport,Aden,Yemen,ADE,OYAA,12.8295002,45.02880096,7,3,U,Asia/Aden
Adi Sumarmo Wiryokusumo Airport,Solo City,Indonesia,SOC,WARQ,-7.516089916,110.7570038,421,7,N,Asia/Jakarta
Adi Sutjipto International Airport,Yogyakarta,Indonesia,JOG,WARJ,-7.788179874,110.4319992,350,7,N,Asia/Jakarta
Adirondack Regional Airport,Saranac Lake,United States,SLK,KSLK,44.38529968,-74.20619965,1663,-5,A,America/New_York
Adıyaman Airport,Adiyaman,Turkey,ADF,LTCP,37.73139954,38.46889877,2216,3,E,Europe/Istanbul
Adnan Menderes International Airport,Izmir,Turkey,ADB,LTBJ,38.29240036,27.15699959,412,3,E,Europe/Istanbul
Adolf Würth Airport,Schwaebisch Hall,Germany,\N,EDTY,49.11833191,9.783888817,1299,1,E,Europe/Berlin
Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD,40.471926,-3.56264,1998,1,E,Europe/Madrid
Aek Godang Airport,Padang Sidempuan,Indonesia,AEG,WIME,1.4001,99.430496,922,7,N,Asia/Jakarta
Aerodromo Goncalves Lobato (Viseu Airport),Viseu,Portugal,VSE,LPVZ,40.725498,-7.88899,2060,0,E,Europe/Lisbon
Aerodromo Municipal de Coimbra,Coimba,Portugal,\N,LPCO,40.158758,-8.470815,587,0,E,Europe/Lisbon
"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",Ciudad Bolivar,Venezuela,CBL,SVCB,8.122160912,-63.53695679,197,-4,U,America/Caracas
Aerotortuguero Airport,Roxana,Costa Rica,TTQ,MRAO,10.42,-83.6095,92,-6,U,America/Costa_Rica
Afonso Pena Airport,Curitiba,Brazil,CWB,SBCT,-25.5284996,-49.17580032,2988,-3,S,America/Sao_Paulo
Afyon Airport,Afyon,Turkey,AFY,LTAH,38.72639847,30.60110092,3310,3,E,Europe/Istanbul
Agartala Airport,Agartala,India,IXA,VEAT,23.88699913,91.24040222,46,5.5,N,Asia/Calcutta
Agatti Airport,Agatti Island,India,AGX,VOAT,10.82369995,72.1760025,14,5.5,N,Asia/Calcutta
Agen-La Garenne Airport,Agen,France,AGF,LFBA,44.17470169,0.5905560255,204,1,E,Europe/Paris
Aggeneys Airport,Aggeneys,South Africa,AGZ,FAAG,-29.28179932,18.81389999,2648,2,U,Africa/Johannesburg
Aghajari Airport,Aghajari,Iran,AKW,OIAG,30.7444,49.6772,88,3.5,E,Asia/Tehran
Agra Airport,Agra,India,AGR,VIAG,27.15579987,77.96089935,551,5.5,N,Asia/Calcutta
Agrinion Air Base,Agrinion,Greece,AGQ,LGAG,38.602001,21.3512001,154,2,E,Europe/Athens
Ağrı Airport,Agri,Turkey,AJI,LTCO,39.65454102,43.02597809,5462,3,E,Europe/Istanbul
Aguas Claras Airport,Ocana,Colombia,OCV,SKOC,8.31506,-73.3583,3850,-5,U,America/Bogota
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.81150055,5.451079845,4518,1,N,Africa/Algiers
Ahe Airport,Ahe,French Polynesia,AHE,NTHE,-14.42809963,-146.2570038,11,-10,U,Pacific/Tahiti
Ahuas Airport,Ahuas,Honduras,AHS,MHAH,15.4722,-84.352203,249,-6,U,America/Tegucigalpa
Ahwaz Airport,Ahwaz,Iran,AWZ,OIAW,31.33740044,48.76200104,66,3.5,E,Asia/Tehran
Ain Arnat Airport,Setif,Algeria,QSF,DAAS,36.17810059,5.32449007,3360,1,U,Africa/Algiers
Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.91720009,5.412779808,492,1,N,Africa/Algiers
Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ,35.52539825,2.878710032,2132,1,N,Africa/Algiers
Aioun el Atrouss Airport,Aioun El Atrouss,Mauritania,AEO,GQNA,16.7112999,-9.637880325,951,0,N,Africa/Nouakchott
Aire-sur-l'Adour Airport,Aire-sur-l'adour,France,\N,LFDA,43.70940018,-0.2452780008,259,1,E,Europe/Paris
Aitutaki Airport,Aitutaki,Cook Islands,AIT,NCAI,-18.83090019,-159.7640076,14,-10,U,Pacific/Rarotonga
Aix-en-Provence (BA 114) Airport,Aix-les-milles,France,\N,LFMA,43.5056,5.36778,367,1,E,Europe/Paris
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,LFKJ,41.92359924,8.802920341,18,1,E,Europe/Paris
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.474269867,7.56196022,466,1,N,Africa/Lagos
Akhisar Airport,Akhisar,Turkey,\N,LTBT,38.80889893,27.83390045,263,3,E,Europe/Istanbul
Akita Airport,Akita,Japan,AXT,RJSK,39.61560059,140.2189941,313,9,U,Asia/Tokyo
Akıncı Air Base,Ankara,Turkey,\N,LTAE,40.07889938,32.56560135,2767,3,E,Europe/Istanbul
Aklavik/Freddie Carmichael Airport,Aklavik,Canada,LAK,CYKD,68.223297,-135.00599,23,-7,A,America/Edmonton
Akola Airport,Akola,India,AKD,VAAK,20.698999,77.058601,999,5.5,N,Asia/Calcutta
Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.91609955,-81.44219971,1228,-5,A,America/New_York
Akron Fulton International Airport,Akron,United States,AKC,KAKR,41.03749847,-81.46690369,1067,-5,A,America/New_York
Aksu Airport,Aksu,China,AKU,ZWAK,41.262501,80.291702,3816,8,U,Asia/Shanghai
Aktau Airport,Aktau,Kazakhstan,SCO,UATE,43.8601,51.091999,73,5,U,Asia/Oral
Aktion National Airport,Preveza,Greece,PVK,LGPZ,38.92549896,20.76530075,11,2,E,Europe/Athens
Aktobe Airport,Aktyubinsk,Kazakhstan,AKX,UATT,50.2458,57.206699,738,5,U,Asia/Oral
Akulivik Airport,Akulivik,Canada,AKV,CYKO,60.8185997,-78.14859772,75,-5,A,America/Toronto
Akure Airport,Akure,Nigeria,AKR,DNAK,7.246739864,5.301010132,1100,1,N,Africa/Lagos
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366,-18.0727005,6,0,N,Atlantic/Reykjavik
Akutan Seaplane Base,Akutan,United States,KQA,KQA,54.13377044,-165.7788956,0,-9,A,America/Anchorage
Al Ahsa Airport,Al-ahsa,Saudi Arabia,HOF,OEAH,25.2852993,49.48519897,588,3,U,Asia/Riyadh
Al Ain International Airport,Al Ain,United Arab Emirates,AAN,OMAL,24.26169968,55.60919952,869,4,U,Asia/Dubai
Al Asad Air Base,Al Asad,Iraq,IQA,ORAA,33.78559875,42.44120026,618,3,U,Asia/Baghdad
Al Badie Airport,Al Badie,Yemen,\N,OYBA,18.71929932,50.8368988,908,3,U,Asia/Aden
Al Baha Airport,El-baha,Saudi Arabia,ABT,OEBA,20.29610062,41.63430023,5486,3,U,Asia/Riyadh
Al Dhafra Air Base,Abu Dhabi,United Arab Emirates,DHF,OMAM,24.24819946,54.54769897,77,4,U,Asia/Dubai
Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,AAY,OYGD,16.19169998,52.17499924,134,3,U,Asia/Aden
Al Hamra Aux Airport,Al Hamra,United Arab Emirates,\N,OMAH,24.0739994,52.46360016,50,4,U,Asia/Dubai
Al Massira Airport,Agadir,Morocco,AGA,GMAD,30.32500076,-9.413069725,250,0,N,Africa/Casablanca
Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,AQI,OEPA,28.335199,46.125099,1174,3,U,Asia/Riyadh
Al Taqaddum Air Base,Al Taqaddum,Iraq,TQD,ORAT,33.33810043,43.5970993,275,3,U,Asia/Baghdad
Al Udeid Air Base,Doha,Qatar,XJD,OTBH,25.11730003,51.31499863,130,3,N,Asia/Qatar
Al Wajh Domestic Airport,Wejh,Saudi Arabia,EJH,OEWJ,26.19860077,36.47639847,66,3,U,Asia/Riyadh
Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,AJF,OESK,29.78510094,40.09999847,2261,3,U,Asia/Riyadh
Alama Iqbal International Airport,Lahore,Pakistan,LHE,OPLA,31.52160072,74.4036026,712,5,N,Asia/Karachi
Alamogordo White Sands Regional Airport,Alamogordo,United States,ALM,KALM,32.83990097,-105.9909973,4200,-7,A,America/Denver
Albacete-Los Llanos Airport,Albacete,Spain,ABC,LEAB,38.94850159,-1.863520026,2302,1,E,Europe/Madrid
Albany Airport,Albany,Australia,ALH,YABA,-34.94329834,117.8089981,233,8,O,Australia/Perth
Albany International Airport,Albany,United States,ALB,KALB,42.74829865,-73.80169678,285,-5,A,America/New_York
Albert J Ellis Airport,Jacksonville NC,United States,OAJ,KOAJ,34.82920074,-77.61209869,94,-5,A,America/New_York
Albert Whitted Airport,St. Petersburg,United States,SPG,KSPG,27.7651,-82.626999,7,-5,A,America/New_York
Albert-Bray Airport,Albert,France,BYF,LFAQ,49.9715004,2.697659969,364,1,E,Europe/Paris
Alberto Alcolumbre Airport,Macapa,Brazil,MCP,SBMQ,0.05066400021,-51.07220078,56,-3,S,America/Fortaleza
Alberto Carnevalli Airport,Merida,Venezuela,MRD,SVMD,8.582078,-71.161041,5007,-4,U,America/Caracas
Alberto Delgado Airport,Trinidad,Cuba,TND,MUTD,21.78829956,-79.99720001,125,-5,U,America/Havana
Albi-Le Séquestre Airport,Albi,France,LBI,LFCI,43.91389847,2.113059998,564,1,E,Europe/Paris
Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.040199,-106.609001,5355,-7,A,America/Denver
Albury Airport,Albury,Australia,ABX,YMAY,-36.06779861,146.9579926,539,10,O,Australia/Sydney
Alcantarilla Air Base,Murcia,Spain,\N,LERI,37.951099,-1.23032,250,1,E,Europe/Madrid
Alderney Airport,Alderney,Guernsey,ACI,EGJA,49.706104,-2.21472,290,0,E,Europe/Guernsey
Alejandro Velasco Astete International Airport,Cuzco,Peru,CUZ,SPZO,-13.53569984,-71.938797,10860,-5,U,America/Lima
Aleknagik / New Airport,Aleknagik,United States,WKK,5A8,59.2826004,-158.6179962,66,-9,A,America/Anchorage
Aleppo International Airport,Aleppo,Syria,ALP,OSAP,36.18069839,37.22439957,1276,2,E,Asia/Damascus
Alert Airport,Alert,Canada,YLT,CYLT,82.51779938,-62.2806015,100,-5,A,America/Toronto
Alès-Deaux Airport,Ales,France,\N,LFMS,44.069698,4.14212,668,1,E,Europe/Paris
Ålesund Airport,Alesund,Norway,AES,ENAL,62.5625,6.119699955,69,1,E,Europe/Oslo
Alexander Bay Airport,Alexander Bay,South Africa,ALJ,FAAB,-28.575001,16.5333,98,2,U,Africa/Johannesburg
Alexander the Great International Airport,Kavala,Greece,KVA,LGKV,40.91329956,24.61919975,18,2,E,Europe/Athens
Alexandra Airport,Alexandra,New Zealand,ALR,NZLX,-45.21170044,169.3730011,752,12,Z,Pacific/Auckland
Alexandria Airport,Alexandria,Greece,\N,LGAX,40.65110016,22.48870087,27,2,E,Europe/Athens
Alexandria International Airport,Alexandria,United States,AEX,KAEX,31.32740021,-92.54979706,89,-6,A,America/Chicago
Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,AOP,SPAS,-2.796129942,-76.46659851,728,-5,U,America/Lima
Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru,HUU,SPNC,-9.878809929,-76.20480347,6070,-5,U,America/Lima
Alfonso Bonilla Aragon International Airport,Cali,Colombia,CLO,SKCL,3.54322,-76.3816,3162,-5,U,America/Bogota
Alfonso López Pumarejo Airport,Valledupar,Colombia,VUP,SKVP,10.435,-73.2495,483,-5,U,America/Bogota
Alfredo Vásquez Cobo International Airport,Leticia,Colombia,LET,SKLT,-4.19355,-69.9432,277,-5,U,America/Bogota
Alghero-Fertilia Airport,Alghero,Italy,AHO,LIEA,40.632099,8.29077,87,1,E,Europe/Rome
Alicante International Airport,Alicante,Spain,ALC,LEAL,38.28219986,-0.5581560135,142,1,E,Europe/Madrid
Alice International Airport,Alice,United States,ALI,KALI,27.74090004,-98.02690125,178,-6,A,America/Chicago
Alice Springs Airport,Alice Springs,Australia,ASP,YBAS,-23.80669975,133.9019928,1789,9.5,N,Australia/Darwin
Allahabad Airport,Allahabad,India,IXD,VIAL,25.44009972,81.73390198,322,5.5,N,Asia/Calcutta
Allakaket Airport,Allakaket,United States,AET,PFAL,66.55180359,-152.621994,441,-9,A,America/Anchorage
Allen Army Airfield,Delta Junction,United States,BIG,PABI,63.99449921,-145.7220001,1291,-9,A,America/Anchorage
Allendorf/Eder Airport,Allendorf,Germany,\N,EDFQ,51.03499985,8.680832863,1158,1,E,Europe/Berlin
Alluitsup Paa Heliport,Alluitsup Paa,Greenland,LLU,BGAP,60.46445,-45.56917,54,-3,E,America/Godthab
Almaty Airport,Alma-ata,Kazakhstan,ALA,UAAA,43.35210037,77.04049683,2234,6,U,Asia/Qyzylorda
Almería International Airport,Almeria,Spain,LEI,LEAM,36.84389877,-2.370100021,70,1,E,Europe/Madrid
Almirante Marco Andres Zar Airport,Trelew,Argentina,REL,SAVT,-43.2105,-65.2703,141,-3,N,America/Catamarca
Almirante Padilla Airport,Rio Hacha,Colombia,RCH,SKRH,11.5262,-72.926,43,-5,U,America/Bogota
Along Airport,Along,India,IXV,VEAN,28.1753006,94.80200195,900,5.5,N,Asia/Calcutta
Alonso Valderrama Airport,Chitré,Panama,CTD,MPCE,7.987840176,-80.40969849,33,-5,U,America/Panama
Alpena County Regional Airport,Alpena,United States,APN,KAPN,45.0780983,-83.56030273,690,-5,A,America/New_York
Alphonse Airport,Alphonse,Seychelles,\N,FSAL,-7.00478,52.7262,10,4,U,Indian/Mahe
Alpnach Air Base,Alpnach,Switzerland,\N,LSMA,46.943901,8.28417,1460,1,E,Europe/Zurich
Alta Airport,Alta,Norway,ALF,ENAT,69.97609711,23.37170029,9,1,E,Europe/Oslo
Altai Airport,Altai,Mongolia,LTI,ZMAT,46.37639999,96.22109985,7260,8,U,Asia/Ulaanbaatar
Altamira Airport,Altamira,Brazil,ATM,SBHT,-3.253910065,-52.25400162,369,-3,S,America/Belem
Altay Air Base,Altay,China,AAT,ZWAT,47.74988556,88.0858078,2460,8,U,Asia/Shanghai
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC,50.981945,12.506389,640,1,E,Europe/Berlin
Altoona Blair County Airport,Altoona,United States,AOO,KAOO,40.29639816,-78.31999969,1503,-5,A,America/New_York
Altus Air Force Base,Altus,United States,LTS,KLTS,34.667099,-99.26670074,1382,-6,A,America/Chicago
Alula Airport,Alula,Somalia,ALU,HCMA,11.9582,50.748,6,3,U,Africa/Mogadishu
Alverca Air Base,Alverca,Portugal,AVR,LPAR,38.883301,-9.0301,11,0,E,Europe/Lisbon
Amable Calle Gutierrez Airport,Pasaje,Ecuador,\N,SEPS,-3.319669962,-79.76920319,22,-5,U,America/Guayaquil
Amado Nervo National Airport,Tepic,Mexico,TPQ,MMEP,21.4195,-104.843002,3020,-7,S,America/Mazatlan
Amami Airport,Amami,Japan,ASJ,RJKA,28.43059921,129.7129974,27,9,U,Asia/Tokyo
Amapá Airport,Amapa,Brazil,\N,SBAM,2.07751,-50.8582,45,-3,S,America/Fortaleza
Ämari Air Base,Armari Air Force Base,Estonia,\N,EEEI,59.26029968,24.20849991,65,2,E,Europe/Tallinn
Amasya Merzifon Airport,Merzifon,Turkey,MZH,LTAP,40.829399,35.521999,1758,3,E,Europe/Istanbul
Ambalabe Airport,Antsohihy,Madagascar,WAI,FMNW,-14.8987999,47.9939003,92,3,U,Indian/Antananarivo
Ambanja Airport,Ambanja,Madagascar,\N,FMNJ,-13.645705,48.459427,36,3,U,Indian/Antananarivo
Ambatondrazaka Airport,Ambatondrazaka,Madagascar,WAM,FMMZ,-17.795378,48.442583,2513,3,U,Indian/Antananarivo
Ambérieu Air Base (BA 278),Amberieu,France,\N,LFXA,45.987301,5.32844,823,1,E,Europe/Paris
Ambilobe Airport,Ambilobe,Madagascar,AMB,FMNE,-13.18840027,48.98799896,72,3,U,Indian/Antananarivo
Amborovy Airport,Mahajanga,Madagascar,MJN,FMNM,-15.66684174,46.35123253,87,3,U,Indian/Antananarivo
Amboseli Airport,Amboseli National Park,Kenya,ASV,HKAM,-2.645050049,37.25310135,3755,3,U,Africa/Nairobi
Amderma Airport,Amderma,Russia,AMV,ULDD,69.76329803,61.5564003,13,3,N,Europe/Moscow
Amendola Air Base,Amendola,Italy,\N,LIBA,41.541401,15.7181,183,1,E,Europe/Rome
Amiens-Glisy Airport,Amiens,France,\N,LFAY,49.873004,2.387074,208,1,E,Europe/Paris
Amigdhaleon Airport,Kavala,Greece,\N,LGKM,40.97280121,24.34140015,203,2,E,Europe/Athens
Amílcar Cabral International Airport,Amilcar Cabral,Cape Verde,SID,GVAC,16.7414,-22.9494,177,-1,U,Atlantic/Cape_Verde
Amlikon Glider Airport,Amlikon,Switzerland,\N,LSPA,47.57419968,9.047499657,1371,1,E,Europe/Zurich
Amman-Marka International Airport,Amman,Jordan,ADJ,OJAM,31.97270012,35.99160004,2555,2,E,Asia/Amman
Ampampamena Airport,Ampampamena,Madagascar,IVA,FMNZ,-13.484816,48.632702,49,3,U,Indian/Antananarivo
Ampara Airport,Galoya,Sri Lanka,ADP,VCCG,7.33776,81.62594,150,5.5,U,Asia/Colombo
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308601,4.76389,-11,1,E,Europe/Amsterdam
Anaa Airport,Anaa,French Polynesia,AAA,NTGA,-17.3526001,-145.5099945,10,-10,U,Pacific/Tahiti
Anaco Airport,Anaco,Venezuela,AAO,SVAN,9.430225372,-64.47072601,721,-4,U,America/Caracas
Anadolu Airport,Eskissehir,Turkey,AOE,LTBY,39.809898,30.5194,2588,3,E,Europe/Istanbul
Anahim Lake Airport,Anahim Lake,Canada,YAA,CAJ4,52.45249939,-125.3030014,3635,-8,A,America/Vancouver
Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP,PAKP,68.13359833,-151.7429962,2102,-9,A,America/Anchorage
Analalava Airport,Analalava,Madagascar,HVA,FMNL,-14.62969971,47.76380157,345,3,U,Indian/Antananarivo
Anapa Vityazevo Airport,Anapa,Russia,AAQ,URKA,45.0021019,37.34730148,174,3,N,Europe/Moscow
Ancenis Airport,Ancenis,France,\N,LFFI,47.40810013,-1.17750001,111,1,E,Europe/Paris
Ancona Falconara Airport,Ancona,Italy,AOI,LIPY,43.616299,13.3623,49,1,E,Europe/Rome
Andahuaylas Airport,Andahuaylas,Peru,ANS,SPHY,-13.70639992,-73.35040283,11300,-5,U,America/Lima
Andapa Airport,Andapa,Madagascar,ZWA,FMND,-14.65170002,49.62060165,1552,3,U,Indian/Antananarivo
Andernos Les Bains Airport,Andernos-Les-Bains,France,\N,LFCD,44.7561,-1.06333,66,1,E,Europe/Paris
Andersen Air Force Base,Andersen,Guam,UAM,PGUA,13.584,144.929998,627,10,U,Pacific/Guam
Anderson Regional Airport,Andersen,United States,AND,KAND,34.49459839,-82.70939636,782,-5,A,America/New_York
Anderstorp Airport,Anderstorp,Sweden,\N,ESMP,57.2641983,13.59939957,507,1,E,Europe/Stockholm
Andi Jemma Airport,Masamba,Indonesia,MXB,WAWM,-2.55803,120.323997,164,8,N,Asia/Makassar
Andizhan Airport,Andizhan,Uzbekistan,AZN,UTKA,40.72769928,72.29399872,1515,5,U,Asia/Samarkand
Andøya Airport,Andoya,Norway,ANX,ENAN,69.29250336,16.14419937,43,1,E,Europe/Oslo
Andravida Air Base,Andravida,Greece,PYR,LGAD,37.9207,21.292601,55,2,E,Europe/Athens
Andrés Miguel Salazar Marcano Airport,Isla De Coche,Venezuela,ICC,SVIE,10.794432,-63.98159,10,-4,U,America/Caracas
Andrés Sabella Gálvez International Airport,Antofagasta,Chile,ANF,SCFA,-23.444501,-70.445099,455,-4,S,America/Santiago
Andros Town Airport,Andros Town,Bahamas,ASD,MYAF,24.69790077,-77.79560089,5,-5,U,America/Nassau
Anduki Airport,Seria,Brunei,\N,WBAK,4.637000084,114.3820038,7,8,N,Asia/Brunei
Aneityum Airport,Anelghowhat,Vanuatu,AUY,NVVA,-20.24920082,169.7709961,7,11,U,Pacific/Efate
Angads Airport,Oujda,Morocco,OUD,GMFO,34.78720093,-1.923990011,1535,0,N,Africa/Casablanca
Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,TGZ,MMTG,16.56360054,-93.02249908,1499,-6,S,America/Mexico_City
Angel S Adami Airport,Montevideo,Uruguay,\N,SUAA,-34.7892,-56.264702,174,-3,S,America/Montevideo
Ängelholm-Helsingborg Airport,Ängelholm,Sweden,AGH,ESTA,56.29610062,12.84710026,68,1,E,Europe/Stockholm
Angelina County Airport,Lufkin,United States,LFK,KLFK,31.23399925,-94.75,296,-6,A,America/Chicago
Angers-Loire Airport,Angers/Marcé,France,ANE,LFJR,47.560299,-0.312222,194,1,E,Europe/Paris
Anglesey Airport,Angelsey,United Kingdom,VLY,EGOV,53.24810028,-4.535339832,37,0,E,Europe/London
Angoulême-Brie-Champniers Airport,Angouleme,France,ANG,LFBU,45.72919846,0.2214560062,436,1,E,Europe/Paris
Aniak Airport,Aniak,United States,ANI,PANI,61.58160019,-159.5429993,88,-9,A,America/Anchorage
Anisakan Airport,Anisakan,Burma,\N,VYAS,21.95540047,96.40609741,3000,6.5,U,Asia/Rangoon
Aniwa Airport,Aniwa,Vanuatu,AWD,NVVB,-19.2346,169.6009,69,11,U,Pacific/Efate
Ankang Wulipu Airport,Ankang,China,AKA,ZLAK,32.708099,108.931,860,8,U,Asia/Shanghai
Ankavandra Airport,Ankavandra,Madagascar,JVA,FMMK,-18.80501,45.273467,427,3,U,Indian/Antananarivo
Anklam Airfield,Anklam,Germany,\N,EDCA,53.832779,13.668611,16,1,E,Europe/Berlin
Ann Airport,Ann,Burma,VBA,VYAN,19.769199,94.0261,74,6.5,U,Asia/Rangoon
Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France,NCY,LFLP,45.9308333,6.1063889,1521,1,E,Europe/Paris
Annemasse Airport,Annemasse,France,QNJ,LFLI,46.19200134,6.268390179,1620,1,E,Europe/Paris
Annette Island Airport,Annette Island,United States,ANN,PANT,55.04240036,-131.5720062,119,-9,A,America/Anchorage
Anniston Regional Airport,Anniston,United States,ANB,KANB,33.5882,-85.8581,612,-6,A,America/Chicago
Anqing Tianzhushan Airport,Anqing,China,AQG,ZSAQ,30.582199,117.050003,0,8,N,Asia/Shanghai
Antalya International Airport,Antalya,Turkey,AYT,LTAI,36.898701,30.800501,177,3,E,Europe/Istanbul
Antoine de Saint Exupéry Airport,San Antonio Oeste,Argentina,OES,SAVN,-40.7512,-65.0343,85,-3,N,America/Argentina/Salta
Antonio B. Won Pat International Airport,Agana,Guam,GUM,PGUM,13.48340034,144.7960052,298,10,U,Pacific/Guam
Antonio Maceo International Airport,Santiago De Cuba,Cuba,SCU,MUCU,19.96980095,-75.83540344,249,-5,U,America/Havana
Antonio Narino Airport,Pasto,Colombia,PSO,SKPS,1.39625,-77.2915,5951,-5,U,America/Bogota
Antonio Nery Juarbe Pol Airport,Arecibo,Puerto Rico,ARE,TJAB,18.45000076,-66.6753006,23,-4,N,America/Puerto_Rico
Antonio Roldan Betancourt Airport,Carepa,Colombia,APO,SKLC,7.81196,-76.7164,46,-5,U,America/Bogota
Antsalova Airport,Antsalova,Madagascar,WAQ,FMMG,-18.701273,44.614921,551,3,U,Indian/Antananarivo
Antsirabato Airport,Antalaha,Madagascar,ANM,FMNH,-14.99940014,50.32020187,20,3,U,Indian/Antananarivo
